x,y
-1.932,-13.569
-2.953,-19.207
8.879,17.665
9.259,15.835
3.033,-0.495
-1.952,-17.858
9.66,20.099
0.651,-7.437
7.257,10.686
3.113,-2.868
-7.518,-32.933
0.911,-9.683
1.592,-3.186
5.195,4.677
-9.52,-40.467
-9.82,-40.042
4.655,3.289
-2.072,-16.939
-8.278,-34.719
5.435,5.031
-1.211,-14.059
-8.579,-35.892
8.278,12.817
-0.23,-8.352
4.094,0.889
0.971,-7.038
1.191,-4.492
0.951,-5.579
6.617,10.378
-8.038,-32.469
7.998,13.577
-6.396,-30.866
-8.859,-37.81
3.273,-1.324
2.332,-2.548
-3.874,-23.459
8.739,15.207
-6.336,-30.32
8.138,12.515
-8.619,-37.875
1.371,-4.236
2.573,-3.105
-2.412,-16.782
-5.035,-26.881
8.338,14.355
-7.357,-33.895
-2.292,-14.833
-2.312,-15.333
1.512,-6.465
-0.09,-11.412
-4.474,-21.217
9.82,17.02
4.314,1.441
1.532,-7.103
7.558,11.959
4.454,1.008
8.759,14.531
8.058,12.731
5.816,7.789
-4.855,-24.142
-1.812,-17.77
-3.594,-21.929
9.64,20.445
9.419,19.432
1.131,-7.968
9.499,20.998
-5.115,-24.261
3.634,0.006
1.772,-6.879
1.271,-4.327
-2.492,-19.175
3.674,2.207
5.295,7.789
3.894,1.803
0.751,-6.771
1.151,-6.995
5.235,5.498
4.695,4.064
0.611,-10.547
-0.651,-12.93
0.571,-10.341
7.077,12.202
-1.471,-11.967
5.796,5.425
-4.975,-22.723
-8.599,-33.413
1.331,-5.799
0.19,-9.699
-1.612,-14.242
6.076,7.615
-9.56,-38.871
-8.939,-38.807
-3.914,-22.206
-4.715,-23.295
9.84,18.634
5.736,6.228
-1.552,-15.109
-3.333,-19.015
-2.232,-16.052
-5.475,-25.489
5.876,5.715
-5.736,-28.391
-9.179,-37.852
-7.918,-35.01
-1.491,-14.523
0.731,-7.422
-0.931,-14.763
-0.13,-10.857
5.516,5.517
-0.891,-14.006
1.832,-2.514
-4.374,-21.378
5.836,6.24
9.72,19.121
6.196,9.938
-9.119,-36.524
3.293,-0.601
-7.678,-31.128
4.575,5.02
7.678,14.429
9.52,17.045
-1.992,-16.47
-0.21,-10.396
8.158,13.647
8.559,13.368
-4.835,-22.195
-1.632,-16.817
5.155,2.972
-9.8,-37.941
5.115,7.232
-7.417,-33.302
1.431,-8.026
0.591,-8.699
7.538,12.278
5.335,8.465
7.037,12.298
-7.037,-30.04
-8.118,-35.407
-9.84,-37.201
4.875,3.018
-1.331,-13.165
-1.732,-16.435
3.153,-2.461
-0.731,-10.948
5.375,8.457
-5.355,-25.975
3.714,1.673
9.099,15.696
8.679,14.035
-3.073,-19.125
6.256,7.712
-6.877,-29.094
-6.416,-31.59
1.852,-3.582
7.518,12.287
-8.519,-34.359
-9.219,-36.749
2.773,-1.233
7.317,14.268
-6.757,-29.16
0.991,-7.857
2.953,-0.357
4.715,5.053
-8.819,-37.734
-5.095,-25.805
-3.934,-23.896
2.192,-4.084
-0.831,-11.339
-4.735,-22.057
3.473,-1.729
3.433,-0.041
4.975,7.257
-5.636,-26.465
-7.257,-31.006
-5.155,-25.379
-6.356,-28.683
-4.955,-23.538
8.358,14.287
-1.151,-11.329
7.638,11.862
9.219,16.258
-1.872,-16.482
7.658,13.362
-4.174,-24.338
9.479,18.47
-9.459,-36.155
-3.954,-22.696
3.373,1.189
2.693,-0.557
2.553,-1.351
-0.25,-8.774
-6.096,-28.336
7.297,12.393
-7.297,-31.438
4.935,6.714
5.415,7.125
3.333,0.857
-3.493,-20.7
8.839,15.153
4.474,5.402
