x1,x2,label
7.395,7.638,1
4.987,6.485,1
5.358,6.499,1
2.036,2.38,0
5.956,7.378,1
5.16,7.249,1
1.691,2.343,0
1.983,3.399,0
1.57,3.44,0
6.018,5.584,1
1.843,2.091,0
6.184,6.967,1
4.223,6.059,1
5.477,7.023,1
3.021,1.742,0
2.313,2.083,0
3.101,-0.34,0
1.754,0.137,0
2.164,0.786,0
1.601,2.982,0
5.736,6.461,1
5.721,5.204,1
3.362,2.46,0
1.93,2.758,0
5.613,7.575,1
1.833,2.385,0
5.042,6.211,1
6.82,4.552,1
-0.101,1.271,0
0.948,2.279,0
0.662,1.943,0
4.496,6.097,1
8.178,6.595,1
5.65,5.376,1
3.63,2.402,0
5.901,7.91,1
6.25,6.046,1
5.567,6.337,1
2.902,1.443,0
5.159,6.113,1
6.118,6.867,1
7.5,6.309,1
0.982,2.29,0
6.204,6.663,1
2.854,2.766,0
1.629,2.037,0
1.653,1.487,0
5.232,6.725,1
0.882,1.178,0
0.86,1.332,0
3.434,2.995,0
1.72,2.79,0
2.427,2.581,0
1.027,3.236,0
6.024,6.892,1
3.751,5.305,1
5.73,4.916,1
6.645,4.875,1
1.466,2.273,0
6.298,6.085,1
5.138,6.795,1
0.626,0.136,0
6.077,6.032,1
6.557,7.706,1
5.387,5.506,1
1.562,2.744,0
6.871,6.306,1
5.102,5.742,1
1.273,2.341,0
2.447,1.91,0
7.525,6.502,1
1.35,2.961,0
5.583,5.016,1
5.954,5.491,1
1.865,1.047,0
2.139,3.491,0
3.02,2.969,0
1.077,1.243,0
2.165,0.838,0
1.357,4.531,0
6.154,5.939,1
5.366,6.259,1
2.298,0.901,0
4.151,0.643,0
6.888,6.846,1
5.294,6.066,1
1.807,1.824,0
3.438,2.915,0
6.523,6.247,1
7.898,6.277,1
4.509,6.59,1
3.63,6.105,1
1.713,1.199,0
5.637,5.585,1
3.504,3.121,0
4.541,5.801,1
7.291,6.679,1
5.314,5.963,1
0.053,2.238,0
1.258,1.074,0
1.436,0.932,0
6.455,4.124,1
6.156,5.058,1
2.497,2.049,0
5.626,5.832,1
3.099,2.481,0
5.596,6.265,1
3.159,0.854,0
2.656,3.596,0
1.463,0.365,0
2.385,2.31,0
2.8,0.754,0
6.186,5.616,1
1.141,2.015,0
3.016,2.403,0
1.479,2.374,0
4.353,6.479,1
8.456,7.328,1
3.532,4.869,1
3.041,1.855,0
4.608,7.193,1
2.552,2.348,0
5.53,3.702,1
5.877,5.949,1
3.591,0.996,0
6.372,5.075,1
2.213,2.304,0
2.459,1.809,0
7.481,5.507,1
5.991,6.242,1
2.572,1.476,0
4.285,9.338,1
1.61,1.784,0
